,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,350.00","4,550.00",Rs./Quintal,7.00,Metric Tonnes,29-06-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,100.00","3,700.00","3,400.00",Rs./Quintal,1.20,Metric Tonnes,29-06-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,500.00","4,625.00",Rs./Quintal,19.20,Metric Tonnes,29-05-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,000.00","3,700.00","3,350.00",Rs./Quintal,1.70,Metric Tonnes,29-05-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,450.00","4,600.00",Rs./Quintal,18.40,Metric Tonnes,28-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,000.00","3,700.00","3,350.00",Rs./Quintal,0.80,Metric Tonnes,28-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,300.00","4,525.00",Rs./Quintal,21.00,Metric Tonnes,28-05-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,100.00","3,700.00","3,400.00",Rs./Quintal,8.00,Metric Tonnes,28-05-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,250.00","4,500.00",Rs./Quintal,16.80,Metric Tonnes,28-04-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,100.00","3,700.00","3,400.00",Rs./Quintal,5.30,Metric Tonnes,28-04-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","4,900.00","4,325.00",Rs./Quintal,3.80,Metric Tonnes,27-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,100.00","3,700.00","3,400.00",Rs./Quintal,3.50,Metric Tonnes,27-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,450.00","4,600.00",Rs./Quintal,17.40,Metric Tonnes,27-11-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,000.00","3,700.00","3,350.00",Rs./Quintal,2.20,Metric Tonnes,27-11-2025
